txn_id,amount,hour,day_of_week,latitude,longitude,city,device_id,transaction_frequency,user_avg_amount,is_new_device,amount_to_avg_ratio,is_night,is_fraud
TXN000019,209.2,13,4,27.185183,75.564446,Jaipur,DEV_9481,3,173.14,0,1.2013,0,0
TXN000020,3902.0,19,6,28.658248,77.055633,Delhi,DEV_2337,4,4452.88,0,0.8761,0,0
TXN000021,12206.8,13,5,17.47859,78.641103,Hyderabad,DEV_9108,5,11161.71,0,1.0935,0,0
TXN000022,121.2,8,4,12.721533,77.491179,Bangalore,DEV_7881,4,98.44,0,1.2188,0,0
TXN000023,981.2,19,3,23.07595,72.492497,Ahmedabad,DEV_3933,5,907.75,1,1.0797,0,0
TXN000024,338.0,17,6,18.886511,72.662081,Mumbai,DEV_6908,1,418.51,0,0.8057,0,0
TXN000025,264.4,20,4,13.252052,80.318949,Chennai,DEV_2605,4,302.12,0,0.8723,0,0
TXN000026,130.0,5,6,21.091149,79.119174,Nagpur,DEV_5970,1,153.74,0,0.8401,1,0
TXN000027,1305.2,9,5,28.756341,77.047651,Delhi,DEV_9070,5,1164.91,1,1.1195,0,0
TXN000028,1809.2,9,5,22.389079,88.482856,Kolkata,DEV_1879,5,2152.97,0,0.8399,0,0
TXN000029,6914.0,12,3,12.947529,77.426215,Bangalore,DEV_5025,2,7096.54,0,0.9741,0,0
TXN000030,2450.0,12,3,27.079679,75.619253,Jaipur,DEV_9184,3,2532.28,0,0.9671,0,0
TXN000031,2530.0,21,3,28.871317,77.023621,Delhi,DEV_6814,4,2176.65,0,1.1618,0,0
TXN000032,779.6,2,1,12.834502,77.522788,Bangalore,DEV_3624,5,989.25,0,0.7873,1,0
TXN000033,335.6,19,6,22.807158,88.113801,Kolkata,DEV_6084,4,392.28,0,0.8533,0,0
TXN000034,1169.2,14,0,21.042548,72.632172,Surat,DEV_6341,2,1164.09,0,1.0035,0,0
TXN000035,11845.2,18,2,21.428556,72.955883,Surat,DEV_2482,5,13601.38,0,0.8708,0,0
TXN000036,2282.0,9,0,12.890357,77.503804,Bangalore,DEV_7085,2,2303.64,0,0.9902,0,0
TXN000037,1006.8,21,0,19.295568,72.989833,Mumbai,DEV_7406,4,1176.85,0,0.8548,0,0
TXN000038,849.2,19,0,13.072632,77.526285,Bangalore,DEV_6016,4,894.72,0,0.9481,0,0
TXN000039,3964.4,10,0,26.2409,80.081081,Kanpur,DEV_8966,5,5054.21,0,0.7842,0,0
TXN000040,849.2,7,6,12.790868,80.165692,Chennai,DEV_1747,2,932.35,1,0.9098,0,0
TXN000041,23053.2,18,4,28.634625,77.0739,Delhi,DEV_7318,2,19949.1,0,1.1555,0,0
TXN000042,23646.0,15,6,17.173338,78.343176,Hyderabad,DEV_8885,3,24490.05,0,0.9655,0,0
TXN000043,121.2,18,0,22.758642,88.352666,Kolkata,DEV_7523,3,104.32,0,1.1508,0,0
TXN000044,449.2,6,2,18.305794,73.795075,Pune,DEV_5342,4,561.1,1,0.7991,0,0
TXN000045,1324.4,11,0,18.811224,73.017288,Mumbai,DEV_9161,4,1336.45,0,0.9902,0,0
TXN000046,4353.2,8,3,23.030521,72.498518,Ahmedabad,DEV_3671,3,5374.2,0,0.8099,0,0
TXN000047,849.2,10,2,25.764689,84.843704,Patna,DEV_9400,2,744.82,0,1.1386,0,0
TXN000048,3649.2,10,5,26.572625,80.115301,Kanpur,DEV_1715,1,4425.38,0,0.8244,0,0
TXN000049,849.2,8,3,26.987599,81.199332,Lucknow,DEV_6787,5,745.35,1,1.1378,0,0
TXN000050,342.8,9,0,23.336815,77.480252,Bhopal,DEV_6845,2,278.0,0,1.2287,0,0
TXN000051,3065.2,14,1,22.641393,88.091757,Kolkata,DEV_8959,5,3729.98,0,0.8216,0,0
TXN000052,3538.0,11,0,26.943272,75.781402,Jaipur,DEV_1168,5,3886.09,0,0.9102,0,0
TXN000053,462.8,7,1,26.66615,80.551931,Kanpur,DEV_3001,4,496.06,0,0.9311,0,0
TXN000054,408.4,16,0,26.555117,80.978599,Lucknow,DEV_4649,1,350.16,0,1.163,0,0
TXN000055,782.0,18,0,22.492458,88.362899,Kolkata,DEV_6766,2,927.45,0,0.8423,0,0
TXN000056,3170.0,5,6,17.289431,78.335604,Hyderabad,DEV_4844,3,3846.2,0,0.824,1,0
TXN000057,1538.0,14,5,13.040611,80.33681,Chennai,DEV_3239,3,1484.22,0,1.0355,0,0
TXN000058,24339.6,13,0,22.71334,88.645744,Kolkata,DEV_9878,4,21675.57,0,1.1229,0,0
TXN000059,6454.8,10,0,13.19502,80.153486,Chennai,DEV_1448,1,7907.04,1,0.8162,0,0
TXN000060,2880.4,8,6,28.80423,77.186437,Delhi,DEV_6051,4,3349.76,0,0.8596,0,0
TXN000061,9250.0,8,3,13.249163,77.574974,Bangalore,DEV_9741,2,10891.34,0,0.8492,0,0
TXN000062,18245.2,14,2,19.088314,73.170247,Mumbai,DEV_3851,4,18855.97,1,0.9676,0,0
TXN000063,3042.0,3,6,25.511114,85.28053,Patna,DEV_2062,1,3586.23,0,0.848,1,0
TXN000064,11058.0,8,2,23.21295,72.835192,Ahmedabad,DEV_7724,5,13112.67,1,0.8432,0,0
TXN000065,450.0,17,1,18.739739,73.908548,Pune,DEV_5901,1,422.81,0,1.0618,0,0
TXN000066,183.6,19,2,18.265111,73.875558,Pune,DEV_2042,1,190.89,0,0.9568,0,0
TXN000067,8046.0,13,2,26.740539,75.639773,Jaipur,DEV_3125,2,7715.66,0,1.0427,0,0
TXN000068,3649.2,8,4,23.208465,72.43889,Ahmedabad,DEV_2085,3,4177.9,0,0.8732,0,0
TXN000069,208.4,5,2,21.249011,72.819257,Surat,DEV_6471,1,254.63,0,0.8152,1,0
TXN000070,3170.0,9,0,27.044793,80.966428,Lucknow,DEV_9842,2,3431.16,0,0.9236,0,0
TXN000071,153.2,12,6,26.256631,80.087186,Kanpur,DEV_6506,3,145.89,0,1.043,0,0
TXN000072,2334.8,16,1,12.979986,79.981356,Chennai,DEV_3674,1,2048.48,0,1.1392,0,0
TXN000073,23058.8,19,0,12.79163,80.325942,Chennai,DEV_1059,3,23931.16,0,0.9635,0,0
TXN000074,1086.8,11,2,23.150725,72.668914,Ahmedabad,DEV_2061,1,1284.3,0,0.8456,0,0
TXN000075,849.2,16,6,17.519769,78.224525,Hyderabad,DEV_1708,5,886.96,1,0.9563,0,0
TXN000076,13642.0,16,1,23.549383,77.362277,Bhopal,DEV_3689,5,16302.22,0,0.8368,0,0
TXN000077,31170.0,21,4,26.890903,80.857196,Lucknow,DEV_5483,3,39744.33,1,0.7842,0,0
TXN000078,130.0,23,1,18.504302,73.917752,Pune,DEV_4523,4,109.89,0,1.1723,1,0
TXN000079,450.0,18,1,23.306492,72.578962,Ahmedabad,DEV_5177,5,490.49,0,0.9156,0,0
TXN000080,11970.0,17,1,26.374692,80.394752,Kanpur,DEV_8419,3,10794.01,0,1.1088,0,0
TXN000081,774.8,14,3,26.816871,75.770966,Jaipur,DEV_9668,3,867.54,1,0.8921,0,0
TXN000082,4678.0,12,5,26.478809,80.183651,Kanpur,DEV_8043,1,5412.06,0,0.8642,0,0
TXN000083,5890.0,15,5,20.857955,79.13214,Nagpur,DEV_5166,5,5305.71,0,1.1099,0,0
TXN000084,15300.4,19,0,23.176606,72.427158,Ahmedabad,DEV_8121,3,15150.53,0,1.0098,0,0
TXN000085,8995.6,17,3,12.719731,77.556715,Bangalore,DEV_1869,4,8473.46,1,1.0615,0,0
TXN000086,450.0,16,2,26.780605,75.856814,Jaipur,DEV_4340,4,452.83,0,0.9916,0,0
TXN000087,8450.0,13,6,21.1003,78.861333,Nagpur,DEV_8612,2,10697.02,0,0.7899,0,0
TXN000088,10282.0,14,0,21.458644,72.775651,Surat,DEV_6131,1,12675.53,0,0.8111,0,0
TXN000089,8766.8,16,6,25.420445,84.899385,Patna,DEV_5678,3,11204.7,0,0.7824,0,0
TXN000090,850.0,9,2,17.171937,78.37873,Hyderabad,DEV_5045,1,750.36,1,1.1313,0,0
TXN000091,529.2,18,1,23.11986,72.718431,Ahmedabad,DEV_9580,1,562.32,0,0.9394,0,0
TXN000092,450.0,7,0,21.196466,72.686389,Surat,DEV_7609,5,416.12,1,1.0788,0,0
TXN000093,18651.6,15,5,22.789805,72.824314,Ahmedabad,DEV_7009,2,20560.28,0,0.9071,0,0
TXN000094,2802.0,8,6,17.610343,78.644437,Hyderabad,DEV_3430,3,3441.69,0,0.8139,0,0
TXN000095,842.0,10,2,25.401811,84.942706,Patna,DEV_2305,3,1066.84,1,0.7885,0,0
TXN000096,6362.8,12,6,19.076414,72.697671,Mumbai,DEV_7456,4,6026.46,0,1.0556,0,0
TXN000097,55970.0,14,0,26.55508,80.406895,Kanpur,DEV_8471,1,61526.34,0,0.9097,0,0
TXN000098,1250.0,16,0,27.005539,75.69149,Jaipur,DEV_4389,2,1276.31,0,0.9786,0,0
TXN000099,1649.2,13,0,13.146789,80.338503,Chennai,DEV_4543,3,1805.79,0,0.9128,0,0
TXN000100,193.2,12,4,25.61577,85.063125,Patna,DEV_9132,1,181.04,0,1.0613,0,0
TXN000101,130.0,8,2,13.205257,80.002611,Chennai,DEV_1197,1,148.09,0,0.872,0,0
TXN000102,130.0,8,1,26.893121,80.657454,Lucknow,DEV_5929,4,115.75,0,1.1135,0,0
TXN000103,4146.0,13,3,18.968448,73.142261,Mumbai,DEV_9056,3,3576.84,0,1.1588,0,0
TXN000104,4147.6,19,4,17.444353,78.636561,Hyderabad,DEV_6343,2,4315.61,0,0.9608,0,0
TXN000105,21890.8,3,0,26.870534,80.242239,Kanpur,DEV_3471,6,6756.58,0,3.2394,1,1
TXN000106,2312.4,18,5,23.210233,72.702421,Ahmedabad,DEV_8095,2,2612.55,0,0.8848,0,0
TXN000107,173.2,8,4,28.64323,76.98094,Delhi,DEV_7320,2,148.39,0,1.1594,0,0
TXN000108,766.0,7,1,21.175464,78.820052,Nagpur,DEV_5022,3,743.11,0,1.0294,0,0
TXN000109,130.0,14,2,18.906093,72.82322,Mumbai,DEV_8296,4,139.32,0,0.9265,0,0
TXN000110,1250.0,15,3,27.019342,75.538626,Jaipur,DEV_3159,4,1208.2,1,1.0337,0,0
TXN000111,1851.6,16,0,27.087095,80.720967,Lucknow,DEV_4634,3,1722.74,1,1.0742,0,0
TXN000112,11075.6,21,0,22.37649,88.186102,Kolkata,DEV_8587,1,10219.19,0,1.0837,0,0
TXN000113,849.2,12,0,18.365369,73.918226,Pune,DEV_5661,5,1062.27,1,0.7987,0,0
TXN000114,595.6,8,1,19.373458,72.600578,Mumbai,DEV_8780,4,690.63,0,0.8612,0,0
TXN000115,4210.0,6,3,26.744019,75.677231,Jaipur,DEV_6535,5,4073.1,1,1.0334,0,0
TXN000116,130.0,20,6,13.360221,80.475157,Chennai,DEV_4802,1,161.86,0,0.7982,0,0
TXN000117,157.2,23,1,12.808061,80.322753,Chennai,DEV_4690,5,171.29,0,0.9124,1,0
TXN000118,130.0,13,1,18.802697,72.996662,Mumbai,DEV_3495,5,113.8,0,1.1324,0,0
TXN000119,1250.0,15,2,26.565403,80.262546,Kanpur,DEV_7754,2,1534.3,0,0.8142,0,0
TXN000120,6114.0,16,2,13.158801,77.852999,Bangalore,DEV_4621,5,7726.19,0,0.7912,0,0
TXN000121,959.6,14,3,21.140735,79.282792,Nagpur,DEV_5371,3,1188.83,1,0.8065,0,0
TXN000122,849.2,8,3,20.890293,78.796895,Nagpur,DEV_9764,2,720.58,0,1.1769,0,0
TXN000123,690.0,12,4,20.928383,72.583568,Surat,DEV_5298,4,719.14,0,0.9581,0,0
TXN000124,2926.0,12,2,26.468737,80.112484,Kanpur,DEV_2437,2,3363.08,0,0.8698,0,0
TXN000125,12104.4,13,6,13.02444,80.423468,Chennai,DEV_1996,4,11549.3,0,1.048,0,0
TXN000126,4050.0,8,4,28.639181,77.167213,Delhi,DEV_7499,2,4782.93,0,0.8466,0,0
TXN000127,690.8,8,3,21.157817,72.872088,Surat,DEV_7181,4,566.63,1,1.217,0,0
TXN000128,1329.2,11,1,22.311241,88.275991,Kolkata,DEV_3622,4,1190.39,0,1.1157,0,0
TXN000129,2046.0,19,3,21.420063,73.083223,Surat,DEV_5630,1,1751.71,0,1.1673,0,0
TXN000130,1610.0,11,1,19.324776,72.614577,Mumbai,DEV_1018,1,1531.22,0,1.0508,0,0
TXN000131,256.4,22,6,13.065119,77.742256,Bangalore,DEV_4737,2,275.17,0,0.9284,1,0
TXN000132,1632.4,14,1,26.180827,80.095558,Kanpur,DEV_5333,4,1599.46,0,1.02,0,0
TXN000133,8524.4,14,3,26.971272,81.11146,Lucknow,DEV_1750,1,10052.74,0,0.8479,0,0
TXN000134,2247.6,14,0,13.216631,80.39105,Chennai,DEV_3767,5,2919.07,0,0.7697,0,0
TXN000135,130.0,17,3,23.222541,72.825263,Ahmedabad,DEV_4588,1,127.7,0,1.0101,0,0
TXN000136,14266.0,7,5,18.864796,72.669289,Mumbai,DEV_4841,2,14561.17,0,0.9797,0,0
TXN000137,3746.0,21,0,25.763871,85.159209,Patna,DEV_8850,5,3013.41,0,1.2427,0,0
TXN000138,2865.2,7,0,20.969982,72.752613,Surat,DEV_9786,4,3449.14,0,0.8305,0,0
TXN000139,1168.4,11,0,26.911613,75.620803,Jaipur,DEV_1820,2,1181.94,0,0.9877,0,0
TXN000140,2834.0,9,5,21.304283,72.67798,Surat,DEV_2005,1,2293.43,1,1.2352,0,0
TXN000141,130.0,10,2,21.041864,79.17284,Nagpur,DEV_8910,5,123.05,1,1.048,0,0
TXN000142,59.6,7,5,26.74615,75.516939,Jaipur,DEV_4625,3,75.36,1,0.7805,0,0
TXN000143,6601.2,15,6,26.872582,75.811438,Jaipur,DEV_1640,2,7329.54,0,0.9005,0,0
TXN000144,1994.0,21,2,21.232692,79.305552,Nagpur,DEV_6447,5,1968.34,0,1.0125,0,0
TXN000145,2050.0,6,0,17.25675,78.357525,Hyderabad,DEV_5224,5,1813.34,0,1.1299,0,0
TXN000146,27126.0,11,3,13.362288,80.225223,Chennai,DEV_4908,4,26146.5,0,1.0374,0,0
TXN000147,123.6,1,2,21.088801,72.917266,Surat,DEV_5911,4,153.06,0,0.8023,1,0
TXN000148,689.2,17,6,25.624004,85.358404,Patna,DEV_7315,2,834.84,0,0.8246,0,0
TXN000149,3570.0,17,0,28.885233,76.934453,Delhi,DEV_1195,2,3898.03,0,0.9156,0,0
TXN000150,105.2,13,6,26.85147,81.113185,Lucknow,DEV_3546,5,112.1,0,0.9302,0,0
TXN000151,1250.0,17,4,27.082946,75.566877,Jaipur,DEV_6588,4,1475.71,0,0.8465,0,0
TXN000152,130.0,8,1,22.657993,88.468181,Kolkata,DEV_4353,4,127.19,0,1.0141,0,0
TXN000153,30859.6,17,2,26.681609,75.926385,Jaipur,DEV_3704,4,32524.83,0,0.9488,0,0
TXN000154,2100.4,10,6,23.245479,77.529347,Bhopal,DEV_9882,2,1712.97,0,1.2255,0,0
TXN000155,8368.4,7,0,22.778823,88.343991,Kolkata,DEV_7282,2,9813.37,0,0.8527,0,0
TXN000156,2913.2,18,3,28.812106,77.050411,Delhi,DEV_6921,1,3204.8,0,0.9087,0,0
TXN000157,2446.0,15,2,18.783001,72.935402,Mumbai,DEV_9393,2,2188.07,0,1.1174,0,0
TXN000158,1610.0,10,0,19.122667,73.107641,Mumbai,DEV_8038,4,1419.56,0,1.1334,0,0
TXN000159,50.0,8,6,21.186016,72.676854,Surat,DEV_4859,4,64.89,0,0.7588,0,0
TXN000160,571.6,12,1,25.747405,85.003785,Patna,DEV_8299,4,741.87,0,0.7694,0,0
TXN000161,2350.0,13,5,22.893469,72.718866,Ahmedabad,DEV_8217,2,2806.22,1,0.8371,0,0
TXN000162,3373.2,12,5,18.789471,72.776739,Mumbai,DEV_2767,5,4374.15,0,0.771,0,0
TXN000163,958.8,9,0,18.27144,74.074251,Pune,DEV_1693,3,1075.54,0,0.8906,0,0
TXN000164,1966.0,23,0,18.600036,73.891225,Pune,DEV_9702,2,1980.74,0,0.9921,1,0
TXN000165,20627.6,12,5,23.026224,72.362568,Ahmedabad,DEV_7165,5,23151.11,0,0.891,0,0
TXN000166,1929.2,15,0,25.731805,85.314973,Patna,DEV_9609,4,2505.57,1,0.7697,0,0
TXN000167,802.8,14,5,28.785677,76.993361,Delhi,DEV_6035,3,815.04,0,0.9838,0,0
TXN000168,4050.0,16,4,26.624479,80.52111,Kanpur,DEV_6644,2,4226.56,0,0.958,0,0
TXN000169,1250.0,14,0,23.113019,77.336407,Bhopal,DEV_6148,5,1528.59,0,0.8172,0,0
TXN000170,121.2,7,4,20.888421,78.914676,Nagpur,DEV_4254,1,120.33,1,0.9989,0,0
TXN000171,1533.2,12,0,22.797531,72.75429,Ahmedabad,DEV_3016,1,1790.05,0,0.856,0,0
TXN000172,6134.8,8,2,18.55198,74.084705,Pune,DEV_1819,5,6927.07,1,0.8855,0,0
TXN000173,130.0,14,5,21.205633,72.5966,Surat,DEV_6298,3,121.04,1,1.0652,0,0
TXN000174,409.2,13,5,21.153454,72.703858,Surat,DEV_6296,3,429.45,0,0.9506,0,0
TXN000175,414.0,12,5,13.247203,80.122561,Chennai,DEV_6733,2,347.91,1,1.1866,0,0
TXN000176,622.0,3,1,12.769216,77.423045,Bangalore,DEV_9160,3,754.46,1,0.8233,1,0
TXN000177,121.2,22,2,26.906623,75.927123,Jaipur,DEV_9483,1,101.47,0,1.1828,1,0
TXN000178,130.0,10,4,26.856121,76.048474,Jaipur,DEV_8360,2,133.9,0,0.9637,0,0
TXN000179,1250.0,10,4,26.369979,80.091597,Kanpur,DEV_7204,4,1066.64,0,1.1708,0,0
TXN000180,130.0,23,0,25.344069,84.877937,Patna,DEV_2268,1,129.42,0,0.9968,1,0
TXN000181,3650.0,18,6,17.677074,78.604987,Hyderabad,DEV_1830,4,4375.81,0,0.8339,0,0
TXN000182,193.2,17,3,12.786265,77.463359,Bangalore,DEV_2158,2,163.63,0,1.1735,0,0
TXN000183,762.8,7,0,12.934725,80.178922,Chennai,DEV_1144,3,841.92,0,0.9049,0,0
TXN000184,1972.4,9,5,13.303122,80.08803,Chennai,DEV_9444,4,1671.9,1,1.179,0,0
TXN000185,3170.0,13,5,22.542539,88.106988,Kolkata,DEV_9408,3,3754.09,0,0.8442,0,0
TXN000186,130.0,13,4,19.04653,73.167693,Mumbai,DEV_7997,4,154.68,0,0.835,0,0
TXN000187,654.8,0,5,12.855426,77.816813,Bangalore,DEV_8766,3,759.06,0,0.8615,1,0
TXN000188,11777.2,11,0,18.955075,72.800471,Mumbai,DEV_9045,5,12167.46,0,0.9678,0,0
TXN000189,17414.0,17,2,26.340542,80.228903,Kanpur,DEV_8068,4,21966.34,0,0.7927,0,0
TXN000190,3960.4,8,5,22.273364,88.502846,Kolkata,DEV_4234,5,4308.43,0,0.919,0,0
TXN000191,3210.0,10,2,21.169341,72.735654,Surat,DEV_6742,2,3029.67,0,1.0592,0,0
TXN000192,11801.2,8,0,17.394749,78.27895,Hyderabad,DEV_8449,3,14786.01,0,0.7981,0,0
TXN000193,1623.6,21,0,13.113929,80.185072,Chennai,DEV_3527,4,1895.29,0,0.8562,0,0
TXN000194,129.2,22,0,18.711063,73.721217,Pune,DEV_4008,1,138.95,0,0.9232,1,0
TXN000195,2478.0,6,1,21.216269,78.815,Nagpur,DEV_2538,5,2975.64,0,0.8325,0,0
TXN000196,1889.2,15,1,26.991958,81.034517,Lucknow,DEV_7201,5,2223.06,0,0.8494,0,0
TXN000197,256.4,22,2,22.342774,88.203291,Kolkata,DEV_2234,2,230.78,1,1.1062,1,0
TXN000198,13650.0,9,4,12.928824,80.160104,Chennai,DEV_1823,4,12698.55,0,1.0748,0,0
TXN000199,125.2,13,5,17.58887,78.751679,Hyderabad,DEV_8395,2,160.04,1,0.7774,0,0
TXN000200,970.0,10,4,25.848983,85.043067,Patna,DEV_9104,4,1215.0,0,0.7977,0,0
TXN000201,762.0,19,1,28.644379,77.265524,Delhi,DEV_8011,3,685.36,1,1.1102,0,0
TXN000202,1649.2,13,1,13.337132,79.990309,Chennai,DEV_7545,5,1453.92,0,1.1335,0,0
TXN000203,170.0,11,1,13.242068,77.454149,Bangalore,DEV_4665,3,160.51,0,1.0526,0,0
TXN000204,1866.0,9,6,22.779492,72.463859,Ahmedabad,DEV_9761,1,2194.23,0,0.85,0,0
TXN000205,10303.6,11,5,23.22934,77.40194,Bhopal,DEV_8892,1,12653.73,0,0.8142,0,0
TXN000206,10675.6,17,4,21.139049,72.592567,Surat,DEV_5108,4,13234.45,0,0.8066,0,0
TXN000207,14523.6,20,5,25.492419,85.266651,Patna,DEV_2366,4,18789.5,0,0.7729,0,0
TXN000208,153.2,6,5,22.800735,72.540384,Ahmedabad,DEV_2614,5,190.25,0,0.801,0,0
TXN000209,6562.0,12,6,23.093183,72.655242,Ahmedabad,DEV_8672,1,7304.2,0,0.8983,0,0
TXN000210,121.2,12,6,28.34302,77.355569,Delhi,DEV_3316,4,115.14,0,1.0436,0,0
TXN000211,4847.6,10,1,22.333832,88.16805,Kolkata,DEV_4940,5,5923.25,0,0.8183,0,0
TXN000212,849.2,4,0,23.197678,72.351112,Ahmedabad,DEV_6004,1,1032.41,0,0.8217,1,0
TXN000213,11250.0,7,0,26.215479,80.138613,Kanpur,DEV_6044,4,12195.48,0,0.9224,0,0
TXN000214,1650.0,10,5,18.913892,72.640661,Mumbai,DEV_2427,2,1862.48,0,0.8854,0,0
TXN000215,2367.6,14,2,13.283892,80.263673,Chennai,DEV_7810,4,2321.57,0,1.0194,0,0
TXN000216,12850.0,23,2,28.627854,77.387023,Delhi,DEV_7958,4,11484.13,0,1.1188,1,0
TXN000217,4049.2,11,0,23.016383,77.356734,Bhopal,DEV_2122,1,4005.01,1,1.0108,0,0
TXN000218,4050.0,11,6,25.383988,85.223959,Patna,DEV_5211,5,5243.49,0,0.7722,0,0
TXN000219,4362.0,17,6,28.810449,77.165601,Delhi,DEV_7765,4,3654.32,1,1.1933,0,0
TXN000220,1326.0,18,0,28.558307,77.345016,Delhi,DEV_7663,2,1162.56,1,1.1396,0,0
TXN000221,43338.0,10,2,18.367562,73.646837,Pune,DEV_7002,1,46667.76,0,0.9286,0,0
TXN000222,649.2,9,6,21.012714,72.938577,Surat,DEV_3307,3,696.67,0,0.9305,0,0
TXN000223,17140.4,15,1,21.226336,72.792472,Surat,DEV_7356,2,14726.68,0,1.1638,0,0
TXN000224,15890.0,17,2,26.610996,80.985313,Lucknow,DEV_6588,2,19708.89,0,0.8062,0,0
TXN000225,1568.4,8,3,21.251686,79.011025,Nagpur,DEV_9401,1,2025.58,1,0.7739,0,0
TXN000226,3246.0,17,3,21.320263,72.861257,Surat,DEV_1466,2,4201.28,0,0.7724,0,0
TXN000227,105.2,20,6,17.391765,78.405913,Hyderabad,DEV_6825,5,125.9,0,0.829,0,0
TXN000228,5330.0,23,3,27.147886,75.514538,Jaipur,DEV_3098,2,5085.45,0,1.0479,1,0
TXN000229,3170.0,17,5,25.508439,85.254481,Patna,DEV_6476,4,3459.8,0,0.916,0,0
TXN000230,1522.0,17,5,26.256357,80.358916,Kanpur,DEV_8247,1,1716.94,0,0.8859,0,0
TXN000231,850.0,19,5,13.231945,80.171179,Chennai,DEV_9487,5,895.22,0,0.9484,0,0
TXN000232,3170.0,14,6,20.85661,79.159131,Nagpur,DEV_8089,3,2557.64,0,1.2389,0,0
TXN000233,2042.0,9,5,28.769648,77.115943,Delhi,DEV_5167,5,1804.23,0,1.1312,0,0
TXN000234,77033.37,1,2,29.308594,78.104238,Delhi,DEV_NEW_76254,16,24539.41,1,3.139,1,1
TXN000235,450.0,12,4,18.472673,73.75437,Pune,DEV_8985,5,410.65,1,1.0932,0,0
TXN000236,3404.4,14,5,19.241957,72.733295,Mumbai,DEV_8364,2,3828.16,0,0.8891,0,0
TXN000237,11570.0,7,1,13.174132,77.547484,Bangalore,DEV_4476,3,14638.45,0,0.7903,0,0
TXN000238,110.0,13,4,22.682185,88.126102,Kolkata,DEV_4633,3,128.67,0,0.8483,0,0
TXN000239,89405.23,1,1,19.60808,72.290168,Mumbai,DEV_NEW_25102,19,17588.45,1,5.0829,1,1
TXN000240,2210.8,10,3,28.699497,77.488016,Delhi,DEV_5528,4,2648.41,0,0.8344,0,0
TXN000241,8049.2,20,5,18.604461,73.613256,Pune,DEV_5767,3,8436.29,0,0.954,0,0
TXN000242,850.0,12,4,23.244967,72.441953,Ahmedabad,DEV_3490,4,762.53,0,1.1133,0,0
TXN000243,9803.6,6,3,12.913482,80.502963,Chennai,DEV_9024,3,9635.2,1,1.0174,0,0
TXN000244,10656.4,18,2,13.240013,80.398864,Chennai,DEV_7750,3,11523.06,1,0.9247,0,0
TXN000245,130.0,9,6,25.640838,85.434622,Patna,DEV_1784,5,163.73,0,0.7892,0,0
TXN000246,130.0,15,2,26.629872,75.693363,Jaipur,DEV_7857,2,131.33,0,0.9824,0,0
TXN000247,1646.0,16,1,13.22462,80.442649,Chennai,DEV_1109,2,1455.89,0,1.1298,0,0
TXN000248,930.0,17,5,13.126932,79.999004,Chennai,DEV_1074,2,902.76,1,1.029,0,0
TXN000249,1489.2,2,2,19.003104,72.85572,Mumbai,DEV_6262,2,1643.55,0,0.9055,1,0
TXN000250,3014.0,8,6,23.016196,72.719191,Ahmedabad,DEV_4587,2,3800.63,1,0.7928,0,0
TXN000251,5024.4,8,6,26.819075,80.827197,Lucknow,DEV_9728,4,6005.45,0,0.8365,0,0
